 rail,rail,c
 flycatcher,flycatcher,"""flycatcher"","
 cormorant,cormorant,"""cormorant"","
 bunting,bunting,"""bunting"","
 frigatebird,frigatebird,"""frigatebird"","
courser,courser,"""courser"","
pratincole,pratincole,"""pratincole"","
 pigeon,pigeon,"""pigeon"","
 sparrow,sparrow,"""sparrow"","
 auk,auk,"""auk"","
 woodpecker,woodpecker,"""woodpecker"","
 phalarope,phalarope,"""phalarope"","
 swift,swift,"""swift"","
thrush,thrush,"""thrush"","
 warbler,warbler,"""warbler"","
 heron,heron,"""heron"","
 nightjar,nightjar,"""nightjar"","
 oystercatcher,oystercatcher,"""oystercatcher"","
 skua,skua,"""skua"","
 stork,stork,"""stork"","
grouse,grouse,"""grouse"","
 waxwing,waxwing,"""waxwing"","
gannet,gannet,"""gannet"","
boobie,boobie,"""boobie"","
hawk,hawk,"""hawk"","
eagle,eagle,"""eagle"","
 treecreeper,treecreeper,"""treecreeper"","
 grebe,grebe,"""grebe"","
 dipper,dipper,"""dipper"","
 crow,crow,"""crow"","
 chat,chat,"""chat"","
 starling,starling,"""starling"","
 oriole,oriole,"""oriole"","
 crane,crane,"""crane"","
 diver,diver,"""diver"","
sandgrouse,sandgrouse,"""sandgrouse"","
 owl,owl,"""owl"","
 tern,tern,"""tern"","
kingfisher,kingfisher,"""kingfisher"","
 shrike,shrike,"""shrike"","
 cuckoo,cuckoo,"""cuckoo"","
 thick-knee,thick-knee,"""thick-knee"","
sandpiper,sandpiper,"""sandpiper"","
 wagtail,wagtail,"""wagtail"","
pheasant,pheasant,"""pheasant"","
partridge,partridge,"""partridge"","
 vireo,vireo,"""vireo"","
 tanager,tanager,"""tanager"","
 pelican,pelican,"""pelican"","
 gull,gull,"""gull"","
 bustard,bustard,"""bustard"","
swallow,swallow,"""swallow"","
martin,martin,"""martin"","
duck,duck,"""duck"","
geese,geese,"""geese"","
swan,swan,"""swan"","
avocet,avocet,"""avocet"","
 plover,plover,"""plover"","
 tit,tit,"""tit"","
 tropicbird,tropicbird,"""tropicbird"","
 lark,lark,"""lark"","
nuthatch,nuthatch,"""nuthatch"","
 mockingbird,mockingbird,"""mockingbird"","
flycatcher,flycatcher,"""flycatcher"","
 flamingo,flamingo,"""flamingo"","
shearwater,shearwater,"""shearwater"","
petrel,petrel,"""petrel"","
 accentor,accentor,"""accentor"","
 falcon,falcon,"""falcon"","
 parrot,parrot,"""parrot"","
finch,finch,"""finch"","
 wren,wren,"""wren"","
